id,name,date_utc,status_name,status_abbrev,rocket,launchpad,location,flight_number,details,links_webcast,links_article,image
ff04cc6f-981d-4b55-8368-3b8a59c1120e,Falcon 9 Block 5 | Starlink Group 12-25,2025-03-18 19:57:50+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",6907,A batch of 23 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
171bf3b5-9b1c-4bd8-b64c-111257d06131,Falcon 9 Block 5 | NROL-57,2025-03-21 06:49:00+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",6908,Eighth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon_9_on_slc_image_20241024165956.jpg
c985cc7c-25ce-4bff-81ba-3b07334dae42,Falcon 9 Block 5 | NROL-69,2025-03-24 17:48:00+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",6910,Classified payload for the US National Reconnaissance Office,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon_9_on_slc_image_20250326100941.jpg
8bfaa532-18e6-4c40-9800-0714b5651f84,Falcon 9 Block 5 | Starlink Group 11-7,2025-03-26 22:11:40+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",6913,A batch of 27 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
a0058cfb-c868-44b6-82cb-7f4ed286b272,Falcon 9 Block 5 | Starlink Group 6-80,2025-03-31 19:52:50+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",6916,A batch of 28 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
8ce07863-00fd-4a90-b3e2-d1811a8f4f9d,Falcon 9 Block 5 | Fram2,2025-04-01 01:46:50+00:00,Launch Successful,Success,Falcon 9 Block 5,Launch Complex 39A,"Kennedy Space Center, FL, USA",6917,"Fram2 is the world’s first astronaut mission to polar orbit. Named after the Norwegian polar research ship Fram, the Crew Dragon spacecraft will launch into a 90° circular orbit from Florida, making it the first human spaceflight to fly over Earth’s polar regions from low-Earth orbit. A cupola will be installed on the Dragon spacecraft to allow for Earth observation from at an altitude of 425 – 450 km. 

During the 3-to-5-day mission, the crew will study green fragments and mauve ribbons of continuous emissions comparable to the phenomenon known as STEVE (Strong Thermal Emission Velocity Enhancement), persistently measured at an altitude of approximately 400 - 500 km above Earth’s atmosphere, among other studies. The crew will also work with SpaceX to conduct a variety of research to better understand the effects of spaceflight on the human body, which includes capturing the first human x-ray images in space, Just-in-Time training tools, and studying the effects of spaceflight on behavioural health.

Chun Wang, an entrepreneur and explorer who co-founded f2pool and stakefish, serves as the mission commander. The vehicle commander will be Jannicke Mikkelsen, a film director, and cinematographer. The vehicle pilot will be Eric Philips, a professional polar adventurer and guide who has completed ski expeditions to the North and South Poles. The final crew member will be mission specialist Rabea Rogge, a robotics researcher from Berlin, currently pursuing her PhD in Norway.",,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20210914155606.jpeg
ac88db1a-3416-4671-8ae5-be14ea825806,Falcon 9 Block 5 | Starlink Group 11-13,2025-04-04 01:02:50+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",6920,A batch of 27 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
c6a16e97-3191-49af-af18-5d2111b2dd26,Falcon 9 Block 5 | Starlink Group 6-72,2025-04-06 03:07:20+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 40,"Cape Canaveral SFS, FL, USA",6921,A batch of 28 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
505662c5-fad1-485c-9e65-b72431443c74,Falcon 9 Block 5 | Starlink Group 11-11,2025-04-07 23:06:10+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",6922,A batch of 27 satellites for the Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon2520925_image_20221009234147.png
88675d6b-d504-4aa6-9175-69a8610a40dd,Falcon 9 Block 5 | NROL-192,2025-04-12 12:25:00+00:00,Launch Successful,Success,Falcon 9 Block 5,Space Launch Complex 4E,"Vandenberg SFB, CA, USA",6925,Ninth batch of satellites for a reconnaissance satellite constellation built by SpaceX and Northrop Grumman for the National Reconnaissance Office to provide imaging and other reconnaissance capabilities.,,,https://thespacedevs-dev.nyc3.digitaloceanspaces.com/media/images/falcon_9_on_slc_image_20241024165956.jpg
